title,genres
Public Enemies,"Romance, Drama, History, Crime, Biography"
Transcendence,"Sci-Fi, Thriller, Romance, Mystery, Drama"
Black Mass,"Drama, Crime, Biography"
Into the Woods,"Adventure, Fantasy, Comedy, Musical, Drama"
Donnie Brasco,"Drama, Crime, Biography"
The Astronaut's Wife,"Sci-Fi, Thriller, Drama"
Blow,"Drama, Crime, Biography"
Corpse Bride,"Fantasy, Romance, Animation, Family, Musical, Drama"
Finding Neverland,"Family, Drama, Biography"
Don Juan DeMarco,"Romance, Comedy, Drama"
The Libertine,"Romance, Drama"
Fear and Loathing in Las Vegas,"Adventure, Comedy, Drama"
What's Eating Gilbert Grape,"Romance, Drama"
Platoon,"Drama, War"
Tusk,"Comedy, Drama, Horror"
